Filename: n5delta1212spd / run at Thu Jan 23 19:45:53 CET 2014
fails: 10 / suboptimals: 0
Time horizon: 10numberOfPlants=5
seed=1337
deltaPenalties=1.2
deltaViolation=1.2
numberOfRuns=50
dominanceProperty=0
so1;v1;so0;v0;vc0;so2;vdiff;vc2;p2;vc1;p1;p0;v2;vcrel1;vcrel0;vcrel2;pra1;pra2;pdiff;pra0;
0.0;4359.456624536314;0.0;3632.8805204469095;90.0;0.0;1.026577136335884;46.0;120.0;37.0;100.0;216.0;3729.4320813308045;0.24666666666666667;0.6;0.30666666666666664;3.108108108108108;2.8260869565217392;0.5555555555555556;2.4444444444444446;
0.0;15467.00671818863;0.0;13184.425704437408;122.0;0.0;1.0265922528252525;64.0;111.0;51.0;93.0;195.0;13535.029286125566;0.3;0.7176470588235294;0.3764705882352941;2.9019607843137254;2.671875;0.5692307692307692;2.30327868852459;
0.0;3398.970788869214;0.0;2832.475657391028;90.0;0.0;1.0030786246150503;54.0;124.0;44.0;104.0;183.9999999999998;2841.195786671403;0.29333333333333333;0.6;0.36;2.8636363636363638;2.6666666666666665;0.6739130434782616;2.488888888888889;
0.0;3521.7916628249095;0.0;2934.826385687439;73.0;0.0;0.9999999999999997;49.0;108.99999999999999;37.0;91.0;158.0;2934.8263856874382;0.2642857142857143;0.5214285714285715;0.35;3.1621621621621623;2.857142857142857;0.6898734177215189;2.6301369863013697;
0.0;422.1954285016641;0.0;351.8295237513739;128.0;0.0;1.0000000000000013;63.0;150.0;47.0;125.0;268.0;351.8295237513744;0.29375;0.8;0.39375;3.0;2.7142857142857144;0.5597014925373134;2.3984375;
0.0;1359.594290173054;0.0;1132.9952418108655;124.0;0.0;1.0;82.0;179.99999999999997;66.0;150.0;260.0;1132.9952418108655;0.38823529411764707;0.7294117647058823;0.4823529411764706;2.393939393939394;2.3292682926829267;0.6923076923076922;2.1774193548387095;
0.0;1212.2007373951665;0.0;1010.1672811626295;109.0;0.0;0.9999999999999996;100.0;228.99999999999994;83.0;190.99999999989564;243.0;1010.167281162629;0.51875;0.68125;0.625;2.8795180722891565;2.69;0.94238683127572;2.596330275229358;
0.0;3450.6887829616917;0.0;2875.573985801397;84.0;0.0;1.0183953346284007;52.0;123.0;42.0;103.0;195.0;2928.471131518938;0.28;0.56;0.3466666666666667;3.0714285714285716;2.826923076923077;0.6307692307692307;2.5952380952380953;
0.0;635.8520975430586;0.0;529.8767479525379;150.0;0.0;0.9999999999999996;78.0;191.0;65.0;161.0;346.0;529.8767479525377;0.38235294117647056;0.8823529411764706;0.4588235294117647;2.523076923076923;2.3974358974358974;0.5520231213872833;2.2266666666666666;
0.0;3826.2964840866653;0.0;3188.580403405538;92.0;0.0;1.006723666704946;59.0;136.0;49.0;114.0;198.0;3210.0193552999594;0.32666666666666666;0.6133333333333333;0.3933333333333333;2.7755102040816326;2.6271186440677967;0.6868686868686869;2.3260869565217392;
0.0;7182.685027587486;0.0;6078.366532824724;90.0;0.0;1.01835801819813;34.0;92.0;27.0;77.0;200.0;6189.953296249225;0.18;0.6;0.22666666666666666;3.6666666666666665;3.264705882352941;0.46;2.522222222222222;
0.0;294.65024924595673;0.0;245.541874371635;111.0;0.0;0.9999999999999981;43.0;108.0;32.0;90.0;242.0;245.54187437163455;0.2;0.69375;0.26875;3.34375;2.9767441860465116;0.4462809917355372;2.5225225225225225;
0.0;9433.450288073635;0.0;7861.208573394688;86.0;0.0;1.0360721235473955;46.0;84.0;37.0;70.0;151.0000000000004;8144.779060286027;0.24666666666666667;0.5733333333333334;0.30666666666666664;3.054054054054054;2.891304347826087;0.5562913907284753;2.63953488372093;
0.0;7219.7403430415625;0.0;6016.450285867971;86.0;0.0;1.1046204978869845;31.0;74.99999999999996;24.0;63.0;183.0;6645.894310287767;0.16;0.5733333333333334;0.20666666666666667;3.7916666666666665;3.3548387096774195;0.4098360655737703;2.63953488372093;
;;;;;;;;;;;;;;;;;;;;
